====================================================================================================
DEBUG: First training sample (LLAMA-CHUNKED ETTIN TOKENIZATION)
====================================================================================================
Answer (first 300 chars): Mezza Thyme is a highly-rated Mediterranean restaurant and bar in Santa Barbara, California. Located at 20 E Cota St, the establishment is known for its variety of dishes and its nightlife. It is open from 4:00 PM to 8:00 PM, Tuesday to Saturday. Customers appreciate the freshly made pita bread, wit...
Hallucinated spans      : [{'start': 641, 'end': 663, 'text': 'but does not have WiFi', 'meta': 'HIGH INTRODUCTION OF NEW INFORMATION\nOriginal: "WiFi": null,\nGenerative: "...but does not have WiFi"', 'label_type': 'Evident Baseless Info', 'implicit_true': False, 'due_to_null': True}]

----------------------------------------------------------------------------------------------------
FULL ETTIN TOKEN SEQUENCE
----------------------------------------------------------------------------------------------------
  idx    tok_id                      token  label  meaning
----------------------------------------------------------------------------------------------------
    0     50281                      [CLS]   -100  masked
    1       187                          Ċ   -100  masked
    2     46912                         {'   -100  masked
    3      1590                       name   -100  masked
    4      5295                         ':   -100  masked
    5       686                         Ġ'   -100  masked
    6      5072                         Me   -100  masked
    7     48407                        zza   -100  masked
    8       596                        ĠTh   -100  masked
    9     28705                        yme   -100  masked
   10      1383                         ',   -100  masked
   11       686                         Ġ'   -100  masked
   12     12025                    address   -100  masked
   13      5295                         ':   -100  masked
   14       686                         Ġ'   -100  masked
   15       938                         20   -100  masked
   16       444                         ĠE   -100  masked
   17       330                         ĠC   -100  masked
   18      5503                        ota   -100  masked
   19       659                        ĠSt   -100  masked
   20      1383                         ',   -100  masked
   21       686                         Ġ'   -100  masked
   22     21280                       city   -100  masked
   23      5295                         ':   -100  masked
   24       686                         Ġ'   -100  masked
   25     39356                      Santa   -100  masked
   26     19917                   ĠBarbara   -100  masked
   27      1383                         ',   -100  masked
   28       686                         Ġ'   -100  masked
   29      3409                      state   -100  masked
   30      5295                         ':   -100  masked
   31       686                         Ġ'   -100  masked
   32      4280                         CA   -100  masked
   33      1383                         ',   -100  masked
   34       686                         Ġ'   -100  masked
   35     34286                 categories   -100  masked
   36      5295                         ':   -100  masked
   37       686                         Ġ'   -100  masked
   38        46                          M   -100  masked
   39     15576                       edit   -100  masked
   40      1000                        err   -100  masked
   41     18313                      anean   -100  masked
   42        13                          ,   -100  masked
   43     39400                      ĠBars   -100  masked
   44        13                          ,   -100  masked
   45     11726                      ĠRest   -100  masked
   46      4411                        aur   -100  masked
   47      1103                       ants   -100  masked
   48        13                          ,   -100  masked
   49     12972                     ĠNight   -100  masked
   50      8206                       life   -100  masked
   51      1383                         ',   -100  masked
   52       686                         Ġ'   -100  masked
   53     22724                      hours   -100  masked
   54      5295                         ':   -100  masked
   55     27428                        Ġ{'   -100  masked
   56     26788                     Monday   -100  masked
   57      5295                         ':   -100  masked
   58       686                         Ġ'   -100  masked
   59        17                          0   -100  masked
   60        27                          :   -100  masked
   61        17                          0   -100  masked
   62        14                          -   -100  masked
   63        17                          0   -100  masked
   64        27                          :   -100  masked
   65        17                          0   -100  masked
   66      1383                         ',   -100  masked
   67       686                         Ġ'   -100  masked
   68     28266                    Tuesday   -100  masked
   69      5295                         ':   -100  masked
   70       686                         Ġ'   -100  masked
   71      1036                         16   -100  masked
   72        27                          :   -100  masked
   73        17                          0   -100  masked
   74        14                          -   -100  masked
   75       938                         20   -100  masked
   76        27                          :   -100  masked
   77        17                          0   -100  masked
   78      1383                         ',   -100  masked
   79       686                         Ġ'   -100  masked
   80     28781                  Wednesday   -100  masked
   81      5295                         ':   -100  masked
   82       686                         Ġ'   -100  masked
   83      1036                         16   -100  masked
   84        27                          :   -100  masked
   85        17                          0   -100  masked
   86        14                          -   -100  masked
   87       938                         20   -100  masked
   88        27                          :   -100  masked
   89        17                          0   -100  masked
   90      1383                         ',   -100  masked
   91       686                         Ġ'   -100  masked
   92     28549                   Thursday   -100  masked
   93      5295                         ':   -100  masked
   94       686                         Ġ'   -100  masked
   95      1036                         16   -100  masked
   96        27                          :   -100  masked
   97        17                          0   -100  masked
   98        14                          -   -100  masked
   99       938                         20   -100  masked
  100        27                          :   -100  masked
  101        17                          0   -100  masked
  102      1383                         ',   -100  masked
  103       686                         Ġ'   -100  masked
  104     25897                     Friday   -100  masked
  105      5295                         ':   -100  masked
  106       686                         Ġ'   -100  masked
  107      1036                         16   -100  masked
  108        27                          :   -100  masked
  109        17                          0   -100  masked
  110        14                          -   -100  masked
  111       938                         20   -100  masked
  112        27                          :   -100  masked
  113        17                          0   -100  masked
  114      1383                         ',   -100  masked
  115       686                         Ġ'   -100  masked
  116     28007                   Saturday   -100  masked
  117      5295                         ':   -100  masked
  118       686                         Ġ'   -100  masked
  119      1036                         16   -100  masked
  120        27                          :   -100  masked
  121        17                          0   -100  masked
  122        14                          -   -100  masked
  123       938                         20   -100  masked
  124        27                          :   -100  masked
  125        17                          0   -100  masked
  126     35450                        '},   -100  masked
  127       686                         Ġ'   -100  masked
  128     26059                 attributes   -100  masked
  129      5295                         ':   -100  masked
  130     27428                        Ġ{'   -100  masked
  131     27270                   Business   -100  masked
  132     34438                       Park   -100  masked
  133       272                        ing   -100  masked
  134      5295                         ':   -100  masked
  135     27428                        Ġ{'   -100  masked
  136      5209                        gar   -100  masked
  137       486                        age   -100  masked
  138      5295                         ':   -100  masked
  139     16708                     ĠFalse   -100  masked
  140        13                          ,   -100  masked
  141       686                         Ġ'   -100  masked
  142     33151                     street   -100  masked
  143      5295                         ':   -100  masked
  144     11793                      ĠTrue   -100  masked
